,rzmre,rzye,rqmcl,rqyl,rqye,rzrqye,opDate
0,103356483,1127494632,33200,613964,13061043,1140555675,2010-08-17
0,131983515,1160315794,95270,607533,12665874,1172981668,2010-08-18
0,147309664,1211963747,35000,593283,12289484,1224253231,2010-08-19
0,103857732,1218764546,63000,594183,12245953,1231010499,2010-08-20
0,83695708,1243716877,52900,559513,11573432,1255290309,2010-08-23
0,167103101,1330890825,167644,702057,14540950,1345431775,2010-08-24
0,138475638,1366215317,38531,632157,13376760,1379592077,2010-08-25
0,61201318,1353180421,71500,663413,14164612,1367345033,2010-08-26
0,94756571,1392247190,57050,674313,13686792,1405933982,2010-08-27
0,110106373,1387403738,62800,561159,10008173,1397411911,2010-08-30
0,165415024,1452301249,156800,686759,11859490,1464160739,2010-08-31
0,172851806,1518575360,170694,665153,11406001,1529981361,2010-09-01
0,107272647,1507920191,396632,836391,14016268,1521936459,2010-09-02
0,88347611,1473266054,191300,845391,14168481,1487434535,2010-09-03
0,211837410,1512382278,159250,877441,14211494,1526593772,2010-09-06
0,116695957,1484746493,351500,978509,15571405,1500317898,2010-09-07
0,217613284,1597965644,98800,897707,14681417,1612647061,2010-09-08
0,138219203,1610268785,201865,712564,11965439,1622234224,2010-09-09
0,161012447,1666573375,135900,689399,10762388,1677335763,2010-09-10
0,156391239,1718421180,273400,659199,11158764,1729579944,2010-09-13
0,150909722,1743592870,91800,644399,10768260,1754361130,2010-09-14
0,139848262,1735051571,95327,639526,10006600,1745058171,2010-09-15
0,143740535,1764572296,395550,754484,11369846,1775942142,2010-09-16
0,83739790,1762457469,129499,736934,12244709,1774702178,2010-09-17
0,70231299,1754309065,97639,791173,13147264,1767456329,2010-09-20
0,65073023,1720184873,76100,796073,13134737,1733319610,2010-09-21
0,129594656,1792150107,151200,778973,12727122,1804877229,2010-09-27
0,117210614,1804488296,95548,762979,13144279,1817632575,2010-09-28
0,147498153,1817403444,180700,610973,10938878,1828342322,2010-09-29
0,151133350,1839014685,217000,639173,10323765,1849338450,2010-09-30
0,299149555,1895394719,267900,736973,12277758,1907672477,2010-10-08
0,328876466,1875534913,417378,831173,15216027,1890750940,2010-10-11
0,275216020,1917825960,132800,799173,14715513,1932541473,2010-10-12
0,429031853,2035513003,771150,772483,15098604,2050611607,2010-10-13
0,278520630,1968346309,763211,838023,15990810,1984337119,2010-10-14
0,446212106,2069528823,173500,784723,14947916,2084476739,2010-10-15
0,376646997,2018128928,651323,866946,17089663,2035218591,2010-10-18
0,297418477,2097404924,316874,947143,18659406,2116064330,2010-10-19
0,539890233,2239070137,288222,749659,16163700,2255233837,2010-10-20
0,298076113,2241262209,194100,697197,14705690,2255967899,2010-10-21
0,405185999,2276940153,163650,634091,12891798,2289831951,2010-10-22
0,524958000,2430369313,268172,730998,15123851,2445493164,2010-10-25
0,495997419,2451047141,133050,692910,15331403,2466378544,2010-10-26
0,404980742,2487265636,236500,648410,14303368,2501569004,2010-10-27
0,311026827,2571917893,213350,672910,14119478,2586037371,2010-10-28
0,415439364,2654075989,199058,674193,14677678,2668753667,2010-10-29
0,522297409,2852423022,191600,773484,16673448,2869096470,2010-11-01
0,438704086,2717399835,120722,817706,17825161,2735224996,2010-11-02
0,405304373,2756481164,594506,1111112,21788233,2778269397,2010-11-03
0,330101086,2878498243,187000,951280,19249807,2897748050,2010-11-04
0,434990647,2894608821,200900,715305,15889912,2910498733,2010-11-05
0,335339131,2963956875,214546,721009,15481356,2979438231,2010-11-08
0,371147848,3007728218,147500,673184,15673675,3023401893,2010-11-09
0,388294325,3090735094,181281,617165,15765483,3106500577,2010-11-10
0,558386908,3262949185,508742,670908,17169226,3280118411,2010-11-11
0,469668874,3156272675,969062,1120099,22602048,3178874723,2010-11-12
0,332790166,3256258581,273863,585746,11417235,3267675816,2010-11-15
0,260877763,3195412504,223400,635546,11703318,3207115822,2010-11-16
0,278236555,3233920726,266735,586573,11017478,3244938204,2010-11-17
0,181051101,3215318374,469000,605500,11550664,3226869038,2010-11-18
0,249898234,3228894944,618056,546841,10978337,3239873281,2010-11-19
0,300898374,3323417150,550968,786808,16147375,3339564525,2010-11-22
0,211744410,3303100688,630903,779925,16336551,3319437239,2010-11-23
0,342301859,3396294747,466549,619304,13185264,3409480011,2010-11-24
0,317657180,3464085947,619100,781504,16066222,3480152169,2010-11-25
0,274918339,3474069355,482850,733911,16978966,3491048321,2010-11-26
0,272834982,3481725725,353771,570551,12977297,3494703022,2010-11-29
0,299086943,3445087748,553555,704424,15357638,3460445386,2010-11-30
0,178153559,3487747339,300300,710870,14286672,3502034011,2010-12-01
0,263168934,3534257946,263877,705062,15550849,3549808795,2010-12-02
0,190622878,3549247554,300500,646346,12475228,3561722782,2010-12-03
0,220090780,3592140516,319853,693531,14194847,3606335363,2010-12-06
0,234123611,3602427745,353442,697274,15134185,3617561930,2010-12-07
0,261883719,3652918663,390363,767879,16327950,3669246613,2010-12-08
0,228478887,3667683970,256050,539813,13078557,3680762527,2010-12-09
0,259390863,3755177373,220763,555902,12692907,3767870280,2010-12-10
0,377253940,3859239376,363600,466502,10563832,3869803208,2010-12-13
0,278068049,3874636163,259967,547169,11312645,3885948808,2010-12-14
0,366969349,3943707828,382848,621117,15636444,3959344272,2010-12-15
0,269092999,3996222296,160800,433848,10044409,4006266705,2010-12-16
0,241557111,4026985223,144955,395303,8058134,4035043357,2010-12-17
0,309030454,4025804037,186033,456936,9771919,4035575956,2010-12-20
0,308608329,4006630265,394481,567956,11167980,4017798245,2010-12-21
0,372805756,4100889106,429091,458078,11662040,4112551146,2010-12-22
0,301086396,4123750994,359300,592454,12828992,4136579986,2010-12-23
0,221156870,4146748599,512082,576571,12018608,4158767207,2010-12-24
0,337530451,4221194398,617778,640673,15367295,4236561693,2010-12-27
0,243390450,4193878558,166608,517405,9904452,4203783010,2010-12-28
0,227270658,4232964071,162000,451463,8743342,4241707413,2010-12-29
0,253129966,4294876127,366500,406204,8306280,4303182407,2010-12-30
0,289473287,4333096103,191700,346074,6908918,4340005021,2010-12-31
